cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,7338.06,-0.0677837,14.4478,11.5644,98.4843,-0.059293,70.3511,219.665,-1.913,-0.439269,-1.54129,-0.83092,-1.55071,-4.78857,-155.592,-7.4055,7568.04,5574.82,-1.88284,-0.409116,-1.48098,-0.800767,-1.52055,0.756988,-148.875,-6.90799,7574.76,-0.024254,0.924897,-0.00168278,6138.18,-0.00033252,0.00417961,10.0484,5589.63,108.384,42.2812,0.754948,11.1649,10.6154,98.1411,118.066,10.2428,-75.7852 
32,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,32,7114.2,-0.00158063,13.7767,11.5039,98.3582,0.00164614,10.7941,4.51689e-11,1.23821,-1.97697,2.11581,-2.23849,0.969038,-32.815,479.319,-7.02064,6642.01,5159.81,1.44484,-1.77035,2.52906,-2.03186,1.17567,-0.877053,525.345,-3.61129,6688.03,0.0864564,1.01218,-0.000995658,6076.41,0.000146633,0.0771646,10.4422,8.38673,98.1533,68.1146,0.655153,11.2301,10.693,97.9883,118.399,0.165026,-50.284 
33,97,43.248,4.2,48.55,-0.2,0.19,0.01,33,13770.5,-0.0285015,27.9458,10.8881,99.1874,-0.0142857,-12.6207,500,2.49786,-0.22187,5.37401,-0.716766,1.68885,-119.564,6207.87,8.11833,7633.73,9911.11,3.25072,0.530991,6.87973,0.0360953,2.44172,0.476399,6375.57,20.5405,7801.43,0.496124,0.994394,0.00482671,12850.8,0.00018205,0.838572,10.3521,8.71714,99.2325,69.7439,0.821633,10.868,10.1805,98.4918,119.575,0.740767,-49.8313 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,14807.4,-0.06914,29.7516,11.0744,98.598,0.036065,-9.73577,496.583,2.34345,-0.925383,-1.98316,-1.45146,-1.01683,-142.749,6897.35,-15.7486,8042.35,10737.1,3.2423,-0.026531,-0.185461,-0.552607,-0.117983,1.07859,7097.57,-0.917592,8242.57,0.509191,1.00023,-0.000205112,13938.9,-5.99849e-05,0.893654,10.7172,8.90416,98.6324,68.3413,0.842787,11.0575,10.3984,97.8617,117.961,0.770687,-49.6192 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,6783.27,-0.0137203,13.6931,11.1589,98.4877,-0.0218845,16.4068,500,-0.950383,2.55181,1.70872,1.59456,-0.915367,-22.8947,-133.841,-20.1105,6976.59,4985.84,-0.806221,2.69597,1.99705,1.73873,-0.771205,0.588604,-101.729,-17.7318,7008.7,-0.0177988,0.766265,-0.00468229,5715.49,-0.000101101,0.00678941,-17.1041,9.05202,126.188,52.4279,0.730746,10.8112,10.5426,98.1759,120.045,28.0118,-67.6169 
36,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,36,6928.88,-0.029545,13.1061,11.8855,98.4886,0.00148848,-3.09203,483.628,-2.06929,-1.58442,0.00228784,-0.500223,-0.822781,-78.9664,536.734,4.71913,6443.34,5071.04,-1.57206,-1.08719,0.996749,-0.00299205,-0.32555,1.50062,647.492,12.9234,6554.09,0.106366,0.96625,0.00361914,6087.39,4.46725e-05,0.0814586,10.3515,8.56157,98.6474,66.9541,0.591882,11.8639,10.9883,97.9194,116.758,0.728021,-49.8035 
37,97,43.248,4.2,48.55,-0.2,0.19,0.01,37,14613.6,-0.00833808,28.8426,11.0384,99.0196,0.00650847,2.02228,189.278,2.04488,-1.84596,-0.135806,2.88937,0.894726,-99.1573,6556.01,-7.00406,8045.26,10364.6,2.66925,-1.2216,1.11293,3.51374,1.51909,0.853435,6695.09,3.29799,8184.33,0.496371,0.999139,0.000741751,13488.1,0.000392503,0.864224,10.4852,8.78592,99.0509,68.2922,0.85294,11.0099,10.0929,98.2939,117.785,0.757062,-49.4929 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,15969.6,-0.0866659,31.2645,11.4095,98.5734,0.0442579,39.1848,499.228,-0.0633815,-0.105455,2.27465,-0.621949,-0.348693,-157.922,7548.3,-26.0721,8587.19,11668.6,0.93101,0.888937,4.26343,0.372443,0.645698,0.399645,7769.8,-9.66462,8808.69,0.515204,1.00218,-0.00202519,15081,-0.000143409,0.933136,10.9223,9.19464,98.648,67.2728,0.843335,11.6015,10.6003,97.8363,116.536,0.811678,-49.2628 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,7032.36,-0.0492284,13.8221,11.4553,98.3399,0.004692,4.95097,100.026,0.5736,-0.0409544,2.70152,1.1759,0.939697,-47.3064,-174.231,14.4275,7178.39,5155.12,0.871476,0.256922,3.29727,1.47377,1.23757,0.538004,-107.879,19.3425,7244.74,-0.0182683,1.45724,0.00489411,5905.25,0.000238154,-0.017143,11.0566,10.1136,75.4492,66.1134,0.726734,11.1834,10.4892,97.9017,117.15,-22.4526,-51.0364 
40,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,40,7359.28,-0.0566282,14.1782,11.7276,98.624,0.0376613,20.1944,38.8693,-2.55703,0.078385,-2.23765,-1.81411,2.73927,-43.5441,504.254,27.3214,6866.38,5437.6,-2.28285,0.35257,-1.68928,-1.53993,3.01345,0.212836,565.329,31.8454,6927.46,0.0895199,0.910267,0.00839703,6315.12,0.000162229,0.071788,9.95358,9.56518,98.7124,68.5648,0.656775,11.4638,10.813,98.1703,118.335,0.54217,-49.7702 
