cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
40,-3.925,43.2977,40,8254.03,-0.410289,26.0347,8.67428,119.339,0.503842,-363.949,39.549,1.26676,-0.61379,-6.76947,-4.93886,-5.90568,-567.902,5109.04,-20.6417,5596.69,13321,4.84269,2.96214,0.382388,-1.36293,-2.32975,0.914922,5561.4,20.4815,6049.04,0.519607,0.993596,0.00619853,10703.1 
41,-4.025,43.1977,41,9629.55,-0.0740609,29.0772,8.61137,119.105,-0.0572371,163.799,0.000373351,-0.52526,-1.11213,-10.9938,-5.76897,-4.88783,-610.35,5630.41,-16.6073,6398.42,8456.38,3.31795,2.73108,-3.30735,-1.92576,-1.04461,-13.4625,6116.58,27.5897,6884.59,0.511057,0.992168,0.00732806,11968.5 
42,-4.01,43.2127,42,8858.93,-0.209197,26.1481,8.80237,119.154,0.141001,28.8871,473.197,-2.60894,-6.2194,-1.12617,-5.12103,-4.73269,-604.857,5049.76,2.64365,5882.27,7625.25,1.19968,-2.41078,6.49107,-1.3124,-0.924071,-1.13277,5531.55,46.4428,6364.06,0.50558,0.98552,0.0132648,10941 
43,-3.935,43.2877,43,9442.8,-0.045398,28.9063,8.37455,119.14,0.00462802,-10.5152,500,-0.571922,0.992049,-5.85582,-9.13735,-4.08141,-597.708,5470.72,-17.4354,6299.97,7882,3.19168,4.75565,1.67139,-5.37375,-0.317801,0.574404,5946.81,25.846,6776.06,0.507994,0.992452,0.00697734,11706.5 
44,-3.97,43.2527,44,8770.21,-0.0300261,27.5579,-8.3819,119.351,-0.022429,30.3353,500,-3.67707,-9.40201,-6.0871,-6.60973,-4.82147,-681.75,5224.48,-26.9569,6071.34,7541.55,0.615725,-5.10922,2.49849,-2.31693,-0.528678,1.51615,5767.52,22.4102,6614.38,0.506378,0.993246,0.00620254,11389.7 
45,-3.985,43.2377,45,8783.08,-0.0654705,26.7043,8.72103,119.144,-0.0548452,78.9204,499.846,-5.09015,-2.0573,-17.6134,-4.49729,-2.89386,-611.506,5220.74,-10.061,5939.19,7722.21,-1.23966,1.79319,-9.91241,-0.646806,0.956628,-0.0954072,5707.82,34.2196,6426.28,0.510988,0.989617,0.00971382,11170.2 
46,-4,43.2227,46,8743.13,-0.0215867,26.9488,8.62791,119.217,0.0083812,-6.40008,500,-1.17374,-2.39582,-2.45528,-6.4437,-4.79644,-618.074,5166.38,-9.42265,6006.77,7570.78,2.7181,1.49603,5.32841,-2.55185,-0.904593,0.124494,5658.7,35.3336,6499.09,0.506012,0.989191,0.00991565,11182.9 
47,-3.93,43.2927,47,8333.52,-0.223042,25.8926,8.49244,119.162,-0.0794065,485.009,500,-1.40428,-1.41214,-7.15168,-6.33885,-3.99085,-558.937,4810.66,-17.0086,5753.54,8411.91,2.1152,2.10734,-0.112723,-2.81937,-0.471366,1.13762,5255.88,23.4655,6198.75,0.499379,0.992247,0.00692502,10524.8 
48,-3.965,43.2577,48,9699.37,-0.345771,28.3455,8.81608,119.27,0.410877,-2045.04,30.6236,1.58115,-6.5836,-6.89302,-5.06451,-5.03776,-536.826,5491.4,-7.62109,6304.56,35488.1,4.9614,-3.20335,-0.132519,-1.68426,-1.65751,0.922785,5919,31.2518,6732.16,0.508447,0.990845,0.00847885,11641.3 
49,-4.04,43.3077,49,9217.99,-0.0271152,28.0302,8.53885,118.939,-0.00592315,-6.97831,500,-3.54822,-2.1499,-6.01888,-6.38371,-6.1168,-616.673,5085.99,-21.4231,6485.65,7792.85,0.334799,1.73313,1.74716,-2.50069,-2.23378,2.90037,5577.19,23.2316,6976.85,0.484656,0.992763,0.00609647,11507.5 
50,-3.98,43.2427,50,9132.99,-0.0223078,26.9286,8.73954,119.209,0.0137108,-22.3181,477.793,-2.49155,-0.574814,-4.35642,-6.38404,-1.86983,-626.626,5343.32,-14.2328,6011.25,7671.17,1.45414,3.37088,3.53497,-2.43834,2.07587,0.557992,5842.45,31.1427,6510.38,0.513565,0.990758,0.00873483,11376.3 
51,-4.005,43.2177,51,8014.27,-0.0212709,24.9317,8.48964,119.054,-0.00235812,29.1447,500,-0.633494,-0.0305178,-4.08363,-3.87759,-5.14897,-557.786,4610.19,-16.5116,5614.21,6892.52,2.87873,3.48171,2.94083,-0.365356,-1.63674,0.597102,5054.49,23.879,6058.5,0.495333,0.9918,0.00720816,10204.2 
52,-3.945,43.2777,52,8606.17,-0.35901,26.1025,8.72144,119.434,12.1642,-9696.43,74.6015,0.546562,-3.44105,0.70656,-7.28677,-7.87033,-502.835,4695.85,-27.8029,5904.8,3.84704e+06,3.71278,-0.274832,7.039,-4.12055,-4.70411,-3.26015,5096.38,8.6086,6305.33,0.487416,0.997053,0.0025087,10455.9 
53,-3.96,43.2627,53,8050.23,-0.35123,24.9784,8.59513,119.462,-0.240242,846.349,436.337,-3.12144,-1.82661,-8.54367,-9.00789,-0.199178,-533.643,4799.44,-25.3398,5309.45,13608,0.238766,1.5336,-1.82325,-5.64768,3.16103,0.281487,5224.51,13.3026,5734.52,0.517337,0.995564,0.00425504,10098.8 
54,-4.045,43.3127,54,8172.09,-0.405846,26.0285,8.58804,119.218,-2.72871,2636.22,231.954,1.06576,-2.6342,-5.28959,-1.67216,-4.88488,-512.722,4823.34,-19.4564,5573.29,241449,4.29423,0.594276,1.16736,1.55631,-1.6564,0.803996,5231.74,17.671,5981.69,0.50714,0.994124,0.00541246,10316.2 
55,-3.94,43.2827,55,8786.88,-0.338431,26.7637,8.56544,119.423,0.35348,1652.13,248.212,-0.0137606,-4.08329,-12.1089,-5.05398,-2.08522,-529.969,5116.72,-20.4344,5759.14,26473.6,3.32331,-0.746215,-5.43476,-1.7169,1.25185,-0.635641,5538.86,17.9419,6181.27,0.513193,0.994363,0.00531851,10792.9 
