cyc,detuning,freq,VVA,time,buffer,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,-3.97,43.2527,3.5,20,21,31,16530.6,-0.160122,33.3146,11.8224,118.15,0.126648,8.10548,500,-6.1964,-2.32502,-5.11363,-3.58266,-0.24155,-112.961,8724.53,22.1763,9204.23,12854.8,-5.48511,-1.61373,-3.69106,-2.87137,0.469736,0.720195,8814.51,30.3561,9294.21,0.486755,0.994009,0.00598058,18108.7,-0.00151222,0.946622,12.0563,9.60751,117.676,85.7719,0.911398,11.7258,10.6607,117.55,134.455,0.126158,-48.6829 
32,-4.19,43.0327,3.5,20,21,32,18332.9,0.00569825,36.5688,11.7126,118.101,-0.0274403,-39.4294,1.36775e-11,-4.32835,-5.90793,-8.18697,-1.1156,-5.95248,-171.456,9934.01,8.45652,9729.4,13978.3,-3.24873,-4.82832,-6.02774,-0.0359852,-4.87287,0.682978,10070.6,20.8721,9865.97,0.505131,0.996386,0.00388196,19936.6,-0.00146151,1.0537,11.9573,9.90441,117.726,85.7101,0.958399,11.7314,10.6883,117.499,134.763,0.226968,-49.0527 
33,-3.94,43.2827,3.5,20,21,33,20114.4,-0.193233,38.9032,-12.1893,118.161,0.17011,-21.1578,500,-7.88755,-9.16716,-8.50055,0.366745,-5.08338,-158.839,10987,42.071,10503.2,15554.1,-6.88738,-8.167,-6.50022,1.36691,-4.08322,0.73218,11113.5,53.5729,10629.7,0.511126,0.991635,0.00919869,21743.2,-0.00153792,1.09435,12.4087,10.1537,117.691,86.2506,0.967752,12.2043,11.0048,117.493,135.051,0.197596,-48.8008 
34,-3.96,43.2627,3.5,20,21,34,17824.5,-0.167698,35.7527,-11.7865,118.202,0.168626,-100.124,100.62,-6.44751,-11.0774,-14.9867,-6.10218,-4.42103,-256.747,10001.8,16.9402,9485.53,14267.6,-4.83084,-9.46076,-11.7533,-4.48551,-2.80436,0.647415,10206.4,35.5319,9690.04,0.512975,0.993945,0.0067094,19896.4,-0.00172177,1.0722,12.0266,9.71075,117.668,85.6686,0.947113,11.8069,10.474,117.468,134.351,0.199744,-48.6825 
35,-3.98,43.2427,3.5,20,21,35,16724.6,-0.120004,32.9558,12.1426,118.225,0.216387,-950.573,0.187998,-3.51757,-10.9632,-11.5163,-5.50689,-2.61725,-174.437,9285.62,26.8541,8968.68,19722.8,-2.41919,-9.86479,-9.31956,-4.40851,-1.51886,0.661487,9424.56,39.4855,9107.63,0.508551,0.992721,0.00792306,18532.2,-0.00166486,0.964808,12.1885,9.89838,117.702,86.0394,0.843471,12.2901,10.7727,117.563,134.995,0.139529,-48.9552 
36,-4.05,43.1727,3.5,20,21,36,19375.6,-0.0809087,37.7549,11.8989,118.338,-0.112154,223.659,500,-6.76058,-5.22153,-1.78764,-2.72815,-1.41886,-226.39,10600.1,28.3196,10076.1,15440.8,-5.33506,-3.79601,1.0634,-1.30263,0.00665723,1.11357,10780.5,44.7131,10256.4,0.512456,0.992794,0.00796674,21036.9,-0.00146041,1.10219,12.2299,9.83153,117.775,85.4476,0.967397,11.9969,10.7876,117.703,134.462,0.0720117,-49.0145 
37,-3.92,43.3027,3.5,20,21,37,17435.6,-0.166777,35.4869,11.6586,118.36,-0.572653,848.995,2.80646e-10,-4.04539,-5.5414,-12.4221,0.612935,-1.03741,-138.882,9827.08,12.4146,9126,29294.9,-3.17089,-4.66689,-10.6731,1.48744,-0.1629,0.378979,9937.71,22.4714,9236.63,0.518282,0.996058,0.00446158,19174.3,-0.00161498,1.0591,11.8625,9.79447,117.772,85.6857,0.912117,11.7698,10.5298,117.832,134.344,-0.060646,-48.6584 
38,-4.13,43.0927,3.5,20,21,38,17802.1,0.005091,35.5892,11.7162,118.143,0.0964944,-62.8547,499.941,-8.8108,-6.00792,-9.03603,-5.58019,-0.251743,-144.198,10441.4,8.1277,8937.34,13771.2,-7.90282,-5.09994,-7.22007,-4.67221,0.656235,0.702128,10556.3,18.5695,9052.2,0.538353,0.996931,0.00376462,19608.5,-0.00163838,1.13016,12.0533,9.59765,117.548,85.0462,0.890772,11.8689,10.4206,117.601,133.752,-0.0525247,-48.7053 
39,-3.91,43.3127,3.5,20,21,39,17936.1,-0.35043,36.8131,11.6627,118.385,0.252599,86.1527,43.5354,-3.58798,-4.09904,-7.2302,-3.44605,-1.7236,-164.649,10179.1,-11.8012,9314.34,14684.8,-2.55123,-3.06228,-5.1567,-2.4093,-0.686845,0.628114,10310.3,0.121476,9445.49,0.521887,0.999979,2.36903e-05,19755.8,-0.00170286,1.11622,11.7909,9.71142,117.832,86.1942,0.945541,11.832,10.3361,117.879,135.049,-0.0474095,-48.8552 
40,-4.07,43.1527,3.5,20,21,40,18324.8,-0.0426827,36.4712,11.8208,118.121,0.0222633,-52.4884,500,-6.66591,-5.24705,-9.93342,-4.58907,-5.65927,-175.272,10005.1,17.8902,9773.83,14072.4,-5.56227,-4.14341,-7.72615,-3.48543,-4.55563,0.696691,10144.7,30.5821,9913.44,0.505765,0.994752,0.00565062,20058.1,-0.00154578,1.0688,12.013,9.7449,117.703,85.7235,0.95977,11.8799,10.6046,117.514,134.576,0.189226,-48.8522 
41,-4,43.2227,3.5,20,21,41,16694.3,0.00137639,33.0739,11.7657,118.254,0.00811719,-13.5374,494.479,-4.31313,-6.60888,-4.03116,-5.22365,-3.00193,-160.488,9149.07,19.5374,8860.52,12671.3,-3.30258,-5.59833,-2.01005,-4.2131,-1.99138,0.882559,9276.9,31.1587,8988.36,0.507899,0.994157,0.00634526,18265.3,-0.00145823,0.960595,12.1344,9.83736,117.69,85.6098,0.862093,12.0274,10.6252,117.718,134.48,-0.0287376,-48.8698 
42,-3.99,43.2327,3.5,20,21,42,16922.1,-0.0281016,34.1798,11.7211,118.233,0.000245874,7.63151,500,-5.47762,-5.67008,-11.9873,-1.67724,-4.2374,-152.072,9166.74,17.1129,9382.88,13041.8,-4.52007,-4.71252,-10.0722,-0.719681,-3.27984,0.567797,9287.87,28.1248,9504.01,0.494249,0.994729,0.0054217,18791.9,-0.00173478,0.973673,12.0201,9.84115,117.599,85.1745,0.915902,11.9279,10.6446,117.747,133.589,-0.147334,-48.4149 
43,-3.95,43.2727,3.5,20,21,43,18186.3,-0.329624,36.9515,11.7023,118.291,-0.806702,248.265,492.691,-5.20143,-4.75557,-3.82273,-1.39898,-2.97265,-261.823,10186.5,8.45164,9491.46,20596.3,-3.5528,-3.10694,-0.525462,0.249649,-1.32401,0.936381,10395.1,27.4109,9700.01,0.517295,0.995407,0.00517858,20095.1,-0.00163667,1.11818,11.9051,9.62167,117.749,85.787,0.951035,11.8339,10.4414,117.671,134.426,0.0782069,-48.6391 
44,-4.175,43.0477,3.5,20,21,44,17674.2,-0.124272,35.6586,11.7337,118.336,1.06939,-392.748,500,-6.23845,-7.55484,-2.51552,-1.92376,-5.67937,-183.867,9949.57,14.4729,9119.31,27292.9,-5.08069,-6.39708,-0.199997,-0.765999,-4.52161,0.988211,10096,27.7872,9265.77,0.521441,0.995207,0.00549396,19361.8,-0.00153264,1.06303,11.9417,9.84145,117.788,85.7538,0.902079,11.8324,10.5817,117.812,134.409,-0.0234764,-48.6551 
45,-3.9,43.3227,3.5,20,21,45,17756.2,-0.32395,35.6234,11.8581,118.096,-0.0645089,222.698,491.491,-6.21595,-7.41835,-5.1095,-3.4726,-2.99178,-219.318,10050.7,23.1978,9094.47,14219.1,-4.83497,-6.03736,-2.34753,-2.09161,-1.61079,0.861276,10225.4,39.0791,9269.16,0.524526,0.993356,0.00770653,19494.6,-0.00150457,1.06366,12.0206,9.86006,117.591,85.7798,0.890779,11.858,10.6433,117.515,134.516,0.0759649,-48.7366 
46,-4.1,43.1227,3.5,20,21,46,19460.5,-0.296919,38.0113,12.0065,118.235,-0.0567455,170.174,132.969,-8.46293,-5.93646,-5.67488,-6.19655,-5.58866,-203.095,10633.4,29.3839,10064.8,15171.1,-7.18409,-4.65763,-3.11721,-4.91772,-4.30983,0.871118,10795.2,44.0905,10226.6,0.513523,0.992903,0.00787938,21021.8,-0.00136082,1.10491,12.1726,9.89736,117.705,85.9171,0.974575,11.9403,10.6789,117.622,134.816,0.0837587,-48.8986 
47,-4.09,43.1327,3.5,20,21,47,18994,-0.0197249,36.9482,11.8194,118.391,-0.0235093,-7.68373,500,-5.43704,-6.89754,-5.72315,-0.391794,-2.64063,-142.558,10372.3,25.2826,9675.71,14222.1,-4.53939,-5.99989,-3.92784,0.505857,-1.74298,0.749886,10485.9,35.6056,9789.26,0.517179,0.994093,0.00665552,20275.1,-0.00122119,1.10786,12.1709,9.66077,117.955,85.2016,0.956382,11.901,10.4959,117.766,133.959,0.188607,-48.7577 
48,-3.84,43.3827,3.5,20,21,48,19537.7,-0.268819,38.9918,11.8612,118.083,-0.845847,1166.62,485.947,-3.93296,-5.77233,-11.387,-3.16871,-2.82776,-151.9,10846.3,4.40359,10150.1,47178.5,-2.97649,-4.81585,-9.47403,-2.21224,-1.87128,0.556249,10967.3,15.403,10271.1,0.516391,0.997548,0.00275491,21238.4,-0.00170677,1.13765,12.0914,9.94102,117.474,85.7374,0.98671,11.9136,10.7514,117.584,134.41,-0.109681,-48.6722 
49,-4.02,43.2027,3.5,20,21,49,17857.2,-0.327525,35.7637,11.8843,118.299,0.165183,390.852,1.73289,-6.3713,-3.98216,-13.827,-5.36644,-5.94664,-187.994,10007.9,19.8921,9229.45,15937.8,-5.18755,-2.79841,-11.4595,-4.18269,-4.76289,0.596369,10157.7,33.5052,9379.19,0.519924,0.994261,0.00653751,19536.9,-0.00155395,1.05742,12.0365,9.86023,117.789,85.7582,0.900516,11.9273,10.6993,117.759,134.479,0.0307632,-48.7205 
50,-3.81,43.4127,3.5,20,21,50,18379.6,-0.00606092,36.4814,11.6908,118.113,-0.0315637,-29.0787,7.40731e-12,-2.56011,-3.36771,-10.3639,-2.59498,-3.51101,-141.484,10266.4,12.0657,9371.6,13913.7,-1.66922,-2.47682,-8.58208,-1.70409,-2.62012,0.496721,10379.1,22.3109,9484.29,0.522525,0.996252,0.00431469,19863.4,-0.00142738,1.1169,11.9401,9.67203,117.596,85.7351,0.913039,11.9442,10.6437,117.569,134.559,0.0274648,-48.8234 
