cyc,wait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,90.01,0,31,4272.94,-0.22729,12.2055,9.72588,90.3766,5.37391,-2868.03,412.966,0.425785,1.68344,3.72059,-0.960491,-1.17273,-50.5135,251.203,10.2483,5518.09,505593,0.743855,2.00151,4.35673,-0.642421,-0.854655,0.222709,318.117,11.5603,5585,0.0607916,0.940208,0.00379846,5232.92,1996.63,329.526,48434.7,-25.853,25.8569,11730.8,4535.12,70.5954,78.4367,0.699649,9.49288,9.61882,90.2712,118.919,-19.6757,-40.4828 
32,40.01,0,32,4195.41,-0.229926,11.9505,9.80754,90.269,2.45866,-1093.38,144.236,-0.831035,-0.115129,1.81518,-2.12645,-1.40172,-69.8883,325.567,15.3851,5369.81,91326.7,-0.390967,0.324938,2.69531,-1.68638,-0.961653,144.74,418.146,17.2004,5462.39,0.0800272,0.932848,0.0057671,5225.05,1930.12,331.596,46526.3,-33.5359,33.5403,9341.06,5276.78,82.9123,78.2223,0.693175,9.37611,9.49244,90.0881,119.996,-7.17578,-41.7741 
33,60.01,0,33,3969.75,-0.143275,10.3893,10.3662,90.5838,0.975144,-816.092,500,-1.41374,0.621715,-1.77885,0.261147,0.355535,-61.6031,324.678,13.7924,5028.43,29412.1,-1.02584,1.00961,-1.00305,0.649045,0.743433,3.68771,406.282,15.3925,5110.04,0.0828619,0.937822,0.00551817,4903.12,1636.97,327.504,39059.5,-34.9664,34.971,8983.64,5427.83,85.8035,78.2229,0.626194,9.62254,9.44966,90.2842,118.677,-4.4807,-40.4538 
34,20.01,0,34,3902.19,-0.23288,10.4684,10.6196,90.9151,-0.342253,164.662,41.2678,-1.188,1.04749,-2.84489,-2.00641,0.83965,-39.8282,334.051,15.7923,5006.27,5453.54,-0.937217,1.29828,-2.34332,-1.75563,1.09044,0.114875,386.811,16.8268,5059.03,0.0799402,0.929258,0.00608971,4838.75,1568.65,331.793,37239.9,-3.18047,3.18309,3189.88,2076.72,87.4592,79.4375,0.596914,9.80763,9.77021,90.5652,118.235,-3.10601,-38.7973 
35,10.01,0,35,3880.66,-0.211886,10.8869,9.94975,90.674,0.201373,-103.691,61.8875,0.169873,0.444771,-0.905222,-0.60148,-0.664144,-63.6088,285.867,10.2841,5024.38,4205.97,0.570401,0.845299,-0.104167,-0.200952,-0.263616,1.12299,370.128,11.9363,5108.64,0.0760684,0.946579,0.00428563,4865.73,1674.23,321.485,39955.8,-64.3604,64.3648,13117.1,7270.71,86.2874,77.9961,0.641628,9.46347,9.3773,90.3691,118.907,-4.08165,-40.9105 
36,70.01,0,36,3408.21,-0.228581,9.77186,10.2285,90.7043,1.01634,-129.18,115.24,0.710124,0.574382,-0.496515,0.876193,0.421815,-34.4238,247.874,8.72549,4548.47,7527.71,0.926881,0.791139,-0.0630002,1.09295,0.638572,1.0186,293.474,9.61961,4594.07,0.0676791,0.94575,0.0038424,4336.26,1366.24,301.864,32177,-32.5362,32.5402,9931.07,5315.63,82.8893,78.2586,0.567432,9.54428,9.56136,90.4011,118.404,-7.51179,-40.1451 
37,100.01,0,37,3114.43,-0.0926264,8.94393,10.0618,90.7379,0.241615,-64.8422,500,-0.778647,0.997687,-1.22944,-0.0673057,-0.774665,-74.33,268.525,10.1398,4262.06,3439.54,-0.310611,1.46572,-0.293371,0.40073,-0.306629,1.30692,366.989,12.0704,4360.53,0.0872899,0.945574,0.00507328,4204.25,1232.17,311.623,28502.1,-32.953,32.9573,10134.9,5212.51,80.4707,77.5553,0.53739,9.58567,9.38816,90.363,119.444,-9.89231,-41.889 
38,30.01,0,38,3606.66,-0.152417,9.57538,10.4349,90.8373,0.0474028,-33.098,499.91,0.595856,-0.979788,-1.38893,0.402163,-2.39474,-44.4921,329.802,14.8498,4613.25,3303.75,0.876011,-0.699633,-0.828617,0.682317,-2.11459,0.602488,388.74,16.0054,4672.18,0.0863815,0.932791,0.00627088,4500.26,1368.26,318.604,32146.5,-30.294,30.2987,7447.13,5288.49,89.7724,77.2572,0.563449,9.75783,9.41305,90.5219,118.59,-0.74945,-41.3327 
39,0.01,0,39,4322.64,-0.0178374,11.257,10.4658,89.9844,-0.0278092,11.4592,499.864,-0.260064,-0.272224,-1.05827,1.84468,-0.674083,-36.7124,344.194,9.84161,5524.71,3845.59,-0.0288955,-0.0410557,-0.595938,2.07585,-0.442915,1.61625,392.826,10.7952,5573.35,0.0741549,0.954115,0.00355534,5297.37,1901.2,350.693,45933.6,-31.5554,31.5597,8416.38,5244.8,89.3525,75.6568,0.652938,10.1939,9.69525,89.691,118.641,-0.338543,-42.9842 
40,50.01,0,40,3390.18,-0.187525,9.46862,10.2639,90.4098,0.0162383,62.7969,500,-1.43469,0.281291,0.408121,-0.708238,0.866724,-33.1003,307.696,9.56062,4465.86,3196.89,-1.22627,0.489715,0.824968,-0.499815,1.07515,-0.24289,351.543,10.4204,4509.71,0.081374,0.950685,0.00423842,4320.09,1324.01,309.223,31059.2,-31.9571,31.9615,8609.71,5266.9,90.9149,76.7301,0.560685,9.5461,9.42277,90.1044,116.839,0.810481,-40.1085 
