cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
175,45.9,0,0.05,1,175,6831.97,0.176347,11.5134,11.1561,95.2557,-0.105449,-51.3061,277.07,-0.534449,-0.709261,-0.135087,-2.28457,4.04844,-114.822,22.024,24.8558,5907.6,4357.43,0.188554,0.0137425,1.31092,-1.56156,4.77144,0.722445,183.073,36.7853,6068.65,0.0331445,0.739846,0.0110427,5523.48,2147.59,721.764,49170.5,0.00409596,-0.00499815,-5193.27,-78.7345,98.5182,40.0008,0.649332,10.7195,9.84259,95.1121,120.692,3.40611,-80.6915 
176,46.05,3,0.05,1,176,6694.86,0.200527,10.442,11.749,96.0801,0.121689,-186.443,0.277525,1.05515,2.15738,-1.06386,0.791296,-2.40025,-116.414,1129.52,31.4105,4598.2,4732.28,1.78818,2.89041,0.402198,1.52433,-1.66722,0.918549,1292.8,43.5055,4761.48,0.235787,0.944384,0.0165526,5482.9,1331.81,2628.37,26015.7,0.00132866,0.132501,10.9133,8.98717,96.6985,70.6523,0.437909,11.3972,10.65,95.5737,120.452,1.12476,-49.7996 
177,46.05,0,0.05,1,177,6369.64,0.0113215,11.058,10.9459,95.641,-0.00292102,-0.178674,6.60742e-12,-0.0393625,5.17412,5.12281,3.65859,2.16127,-141.245,-76.4452,4.6326,5489.73,3940.28,0.85002,6.0635,6.90158,4.54797,3.05066,0.677703,121.665,19.3074,5687.84,0.0237304,0.782648,0.00621418,5126.96,1961.17,733.172,44307.4,0.0106307,-0.0118913,-354.634,-163.428,135,40,0.626799,10.4976,9.7617,95.183,121.051,39.817,-81.0506 
178,45.9,3,0.05,1,178,8818.75,0.223155,13.5723,12.2492,95.9207,-0.0400221,-143.017,301.387,1.02873,-1.00981,9.69754,2.62016,1.81263,-124.506,1141.27,23.4224,6631.48,5598.33,1.81272,-0.225825,11.2655,3.40415,2.59661,0.40246,1315.91,36.3581,6806.11,0.180131,0.953878,0.00974461,7305.28,2264.14,2743.2,50032.5,0.00144973,0.13345,11.2755,8.80963,96.1051,70.7337,0.58797,11.9516,11.0248,95.5248,121.371,0.580287,-50.6371 
179,45.9,0,0.05,1,179,7034.11,0.242872,11.502,10.8893,95.4025,-0.0311768,22.2902,495.237,-0.090625,3.74538,6.59176,1.97998,-0.0288959,-143.126,26.4663,32.6801,5842.66,4099.9,0.810599,4.6466,8.39421,2.8812,0.872328,0.52319,227.214,47.5503,6043.41,0.0409733,0.73194,0.0142868,5545.41,2129.01,703.984,48606.9,0.00160341,0.0124214,0.435638,-8.32702,108.479,52.1187,0.659455,10.6031,9.58081,95.0671,121.054,13.4122,-68.9352 
180,45.9,0,0.05,1,180,6482.21,0.169386,11.0201,11.0339,95.6986,0.0051764,-138.689,145.336,-1.96659,-0.103816,4.45559,-0.607949,-0.208425,-82.5507,-47.8359,0.521557,5624.39,3981.67,-1.44679,0.415984,5.49519,-0.0881494,0.311375,-0.17228,67.9495,9.09826,5740.18,0.0132732,0.810162,0.00291126,5119.31,1985.73,685.318,45218.3,0.00460614,-0.00546215,-6457.48,95.3395,134.573,40.0005,0.620403,10.7505,9.90459,95.4354,120.852,39.1373,-80.8519 
181,45.9,0,0.05,1,181,6598.65,0.208985,10.981,10.8945,95.2935,0.369215,-324.859,182.84,1.25176,1.78018,8.535,2.10624,2.77664,-151.883,49.4489,1.67341,5619.8,7799,2.20812,2.73655,10.4477,3.0626,3.733,0.529127,262.479,17.4534,5832.83,0.048649,0.895764,0.00548187,5395.37,2047.67,740.619,46494.6,0.00121469,0.0288272,-6.64136,-0.815106,88.3239,66.1961,0.639756,10.6862,9.67994,95.1657,120.317,-6.84181,-54.1209 
182,45.9,0,0.05,1,182,6816.83,0.194878,11.3795,11.0683,95.6617,0.0376328,-27.3713,382.768,-1.6236,1.92368,0.641398,2.35829,0.772573,-121.631,31.7856,-3.65986,5827.14,4133.67,-0.857722,2.68956,2.17316,3.12417,1.53845,0.749279,202.386,8.97718,5997.74,0.036929,0.927967,0.00274961,5480.4,2108.52,735.001,48191,0.00122946,-0.00017159,-1.31576,0.30887,100.033,65.6019,0.637195,10.8167,9.99051,95.3807,120.6,4.65278,-54.9978 
183,45.9,0,0.05,1,183,7197.84,0.184305,12.0095,11.2783,95.6665,0.0413281,-201.248,472.358,2.51011,3.36609,3.72289,1.92572,0.225746,-103.738,-56.0393,31.0056,6235.99,4680.01,3.16332,4.0193,5.02931,2.57893,0.878957,0.679045,89.4634,41.7835,6381.49,0.0156811,0.550258,0.0119176,5705.18,2298.99,693.525,53333.1,0.00128619,0.0315944,0.794152,2.5642,108.082,65.842,0.668573,10.8541,10.0261,95.1791,120.891,12.9028,-55.0487 
184,45.9,0,0.05,1,184,6174.57,0.199734,10.375,10.7441,95.5207,0.0576398,-57.9417,222.07,1.1404,2.86451,3.19345,0.703426,1.42941,-135.586,-73.3571,17.9948,5252.42,3737.46,1.99415,3.71826,4.90094,1.55717,2.28316,0.660921,116.815,32.0816,5442.59,0.0238092,0.675396,0.0107417,4906.29,1818.72,702.258,40583,0.00125304,-0.00314353,0.580282,-1.49398,94.4909,58.8104,0.60682,10.4148,9.60033,95.0045,119.492,-0.513596,-60.6817 
