cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
58,-3.995,43.2277,58,8503.49,-0.0138911,26.8116,8.49172,123.791,-0.0326602,10.0125,500,-1.77768,-7.23821,-0.728443,-6.58603,-4.40115,-689.552,5748.65,28.9076,5348.43,7422.27,2.56424,-2.89629,7.9554,-2.2441,-0.0592261,-0.49537,6297.9,78.8397,5897.68,0.565646,0.978562,0.0240333,11134 
59,-4.013,43.2097,59,10515.8,-0.471043,32.2123,8.74931,123.796,-4.56077,26.783,392.236,-1.72289,-5.58523,-5.03816,-2.38528,-5.81769,-640.859,6783.43,28.1625,6376.55,13151.1,2.31243,-1.54991,3.03248,1.65004,-1.78237,0.172059,7293.89,74.5687,6887.02,0.563616,0.982423,0.0195552,12941.2 
60,-3.95,43.2727,60,9997.65,-0.429507,30.1146,8.82862,123.53,0.366018,-147.227,480.21,-3.41247,-2.36555,-8.79895,-7.65205,-2.85614,-598.805,6411.15,35.9978,6016.62,10409.2,0.358048,1.40497,-1.25791,-3.88153,0.914374,0.489079,6888.12,79.3588,6493.59,0.564005,0.980237,0.0220169,12212.9 
61,-3.986,43.2367,61,8781.61,-0.0324434,27.249,8.62455,123.684,0.00109549,16.0987,499.846,-4.22505,-3.64161,-9.25181,-6.84068,-6.54463,-617.081,5754.38,22.49,5579.88,7650.94,-0.33946,0.243987,-1.48062,-2.95509,-2.65903,0.794079,6245.91,67.1743,6071.41,0.556455,0.981527,0.019974,11224.5 
62,-3.996,43.2267,62,8031.28,-0.0358481,25.1832,8.66871,123.616,0.0139267,-10.7447,500,-5.23341,-3.04794,-9.14465,-4.75353,-4.79092,-581.137,5239.22,18.3912,5325.35,7111.46,-1.57415,0.611323,-1.82612,-1.09427,-1.13166,0.635859,5702.12,60.4727,5788.25,0.545737,0.981779,0.018882,10448.5 
63,-3.988,43.2347,63,7880.75,-0.109602,25.6579,8.52433,123.884,0.152535,82.0307,1.04482e-06,-6.25705,-3.82766,-5.24056,-7.11452,-6.74733,-666.208,5419.51,26.4213,5112.5,7527.28,-2.06211,0.367272,3.1493,-2.91959,-2.5524,1.78389,5950.17,74.663,5643.16,0.562528,0.978513,0.0237925,10577.6 
64,-3.97,43.2527,64,10306,-0.131522,30.2222,8.89009,124.008,0.370745,-536.748,2.58346,-1.58916,0.0889058,-12.6219,-4.50479,-3.40806,-608.98,6615.89,38.1452,6251.92,15224.4,2.24542,3.92349,-4.95274,-0.670201,0.426522,6.09285,7100.97,82.2429,6737,0.562439,0.980134,0.0219932,12625.3 
65,-4.008,43.2147,65,9587.49,-0.488292,29.8057,8.84496,124.062,1.42401,126.244,490.608,-4.03929,0.927697,-7.16591,-9.6193,-8.40447,-677.91,6227.95,31.9982,6056.49,14434.2,0.229328,5.19631,1.37132,-5.35068,-4.13585,1.50987,6767.93,81.0873,6596.47,0.555795,0.979464,0.0221427,12177 
66,-3.982,43.2407,66,9374.47,-0.0828228,27.9272,8.87261,123.767,0.0824806,20.2501,500,-3.61238,-1.75542,-6.2576,-4.62972,-5.43786,-663.006,6326.1,40.3728,5605.68,8120.66,0.562387,2.41935,2.09194,-0.454954,-1.26309,0.376589,6854.21,88.3826,6133.79,0.576763,0.977932,0.0258568,11883.9 
67,-3.974,43.2487,67,9545.98,-0.192392,30.1576,8.65428,123.423,-0.00106839,427.131,499.999,-5.93208,-6.74297,-7.49559,-7.37013,-5.56044,-737.385,6485.31,28.5502,6024.11,8511.02,-1.28896,-2.09985,1.79065,-2.72701,-0.917327,1.34156,7072.67,81.9461,6611.47,0.566082,0.980127,0.0223224,12494.1 
68,-3.998,43.2247,68,9217.25,-0.00638568,28.3333,8.68223,123.83,-0.0365815,13.7677,500,-4.90386,-4.64683,-9.88594,-5.32699,-5.11711,-668.617,6032.4,31.2188,5807.42,8024.39,-0.693757,-0.436729,-1.46574,-1.11688,-0.907009,0.682749,6564.98,79.635,6339.99,0.558068,0.979213,0.0226149,11763.8 
