cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
34,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,34,9224.2,0.224243,18.1644,9.63058,96.5993,-0.95548,74.4841,488.966,3.02131,0.91534,9.51999,-0.800857,-1.49358,-158.038,3295.97,45.5612,4990.81,8011.43,4.01643,1.91046,11.5102,0.194263,-0.498464,0.32818,3517.64,61.9807,5212.47,0.44845,0.970087,0.0214347,7843.99,0.00135117,0.572953,8.95407,7.71916,96.908,71.4653,0.635343,9.67859,9.31433,95.876,121.55,1.03195,-50.0849 
35,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,35,9648.14,0.301058,17.9659,9.76467,96.7663,0.344319,-38.3904,434.353,0.133356,1.14378,2.92331,1.77445,0.128014,-211.715,3271.5,55.2962,5214.05,6141.18,1.46647,2.47689,5.58953,3.10756,1.46113,0.603623,3568.45,77.2925,5511,0.438246,0.963479,0.0251851,8142.58,0.0016642,0.535179,9.45038,7.78351,97.1025,71.3103,0.665095,9.623,9.21237,96.1584,121.742,0.944129,-50.4322 
36,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,36,5204.24,0.270906,7.85985,10.4738,96.1764,-0.429864,347.435,487.037,-0.176306,-0.635111,0.89799,0.0140924,-1.94773,-136.684,381.401,39.0958,3678.82,7541.71,0.684356,0.225551,2.61931,0.874754,-1.08707,0.210314,573.113,53.2967,3870.54,0.151391,0.860037,0.024738,3785.66,0.00162038,0.0456211,10.0598,8.35328,95.8236,70.7815,0.430447,9.93944,9.47966,96.3639,121.372,-0.540255,-50.5908 
37,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,37,9546.44,0.182733,18.213,9.74365,96.8203,0.21846,-60.4541,497.834,3.13936,0.958649,-3.78196,-1.20991,-1.08343,-249.714,3190.18,57.2863,5265.73,6206.86,4.71174,2.53103,-0.637198,0.362472,0.488951,1.08545,3540.43,83.2306,5615.98,0.43167,0.960486,0.0265751,8201.69,0.00163117,0.55276,9.08909,7.55163,96.7188,70.9147,0.688741,9.64374,8.96354,96.1573,121.255,0.561461,-50.3403 
38,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,38,10207,0.240443,19.4639,9.98997,96.8773,-0.0493937,-591.018,168.037,-2.05699,-2.3542,-3.4151,-2.65553,0.561495,-200.177,3743.32,54.4882,5435.61,7280.1,-0.796529,-1.09374,-0.894174,-1.39507,1.82196,0.62072,4024.09,75.2858,5716.38,0.458916,0.968298,0.0236862,8768.68,0.00146413,0.616009,9.46624,7.69073,97.0307,71.7983,0.663867,9.92612,9.51838,96.3266,122.235,0.704135,-50.4369 
39,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,39,4591.07,0.188413,7.57732,9.84596,96.6347,-0.478593,404.792,2.05514e-06,-1.15832,-0.00114392,-2.88313,0.0780185,3.1701,-147.4,-3.96214,17.8382,3671,8735.25,-0.230182,0.926995,-1.02685,1.00616,4.09824,1.21508,202.781,33.1525,3877.74,0.05927,0.777541,0.0155048,3421.31,0.00405021,-0.00519554,-7570.1,-70.1873,78.9458,40.0004,0.453955,9.44726,9.39377,96.4459,121.76,-17.5001,-81.7597 
40,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,40,9800.34,0.0915605,18.3227,10.0159,96.8078,-0.803562,153.926,500,-0.689158,1.31106,-7.555,-1.68721,-0.695294,-240.274,3246.91,44.9102,5328.73,10000.6,0.823781,2.824,-4.52912,-0.174272,0.817645,-18.0322,3583.91,69.8737,5665.74,0.432501,0.967007,0.0222134,8286.48,0.00179725,0.564591,9.1777,7.49179,96.981,72.6348,0.676051,9.7661,9.05446,96.1879,123.327,0.793126,-50.6927 
41,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,41,8947.15,0.206909,17.2871,9.45109,96.6791,-0.176631,-199.342,5.16507e-05,-0.804234,-0.285021,0.890582,0.0176439,-0.079251,-211.345,2849.96,58.5411,4950.27,6464.81,0.526551,1.04576,3.55215,1.34843,1.25153,0.540141,3146.39,80.499,5246.7,0.419454,0.957146,0.0274862,7501.15,0.00166486,0.519326,8.96375,7.37851,96.7737,72.4106,0.665845,9.33437,8.91054,96.2328,122.972,0.540876,-50.561 
42,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,42,5082.57,0.0643729,7.85776,11.0691,96.1208,-0.0359488,-42.172,499.978,-1.22686,-2.60963,-1.29155,-1.2435,-0.972401,-153.864,394.983,22.5332,3713.6,2880.79,-0.258018,-1.64079,0.646134,-0.274654,-0.00355951,1.42206,610.793,38.519,3929.41,0.157738,0.900607,0.0177374,3872.21,0.00139302,0.0529904,10.7033,7.76581,96.247,71.1539,0.423643,10.1269,9.60706,96.0777,121.78,0.169274,-50.6265 
43,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,43,8729.52,0.219074,16.8728,9.76574,96.7302,-0.104744,-106.974,58.7984,-1.49325,-1.85431,-1.74597,-3.84995,-4.0239,-239.494,3022.4,55.0682,4831.35,5728.72,0.0147804,-0.346278,1.27009,-2.34192,-2.51587,1.32407,3358.32,79.9507,5167.26,0.43916,0.960004,0.0277122,7647.14,0.00133996,0.505545,9.11866,7.77483,96.8956,71.571,0.591419,9.73328,9.57325,96.1133,121.92,0.782261,-50.3486 
