cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,5383.26,0.160545,9.19432,10.7378,95.9005,-0.308416,-6.15726,264.326,1.0228,-0.86396,0.681758,-1.13042,-0.399027,-103.776,50.6494,20.5744,4687.98,3275.69,1.67625,-0.210513,1.98865,-0.476974,0.254421,0.384668,196.205,31.3563,4833.54,0.0440938,0.781449,0.011809,4449.72,0.0010892,0.0019515,-438.581,0.00514657,132.945,60.2372,0.544674,9.93466,9.78379,95.568,124.052,37.3768,-63.8146 
32,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,32,6545.71,0.0293657,10.6348,10.7393,96.2644,0.0580473,-70.4656,499.416,-0.777446,-0.369837,-0.264059,-0.298587,-2.39904,-135.241,388.426,24.9366,5041.65,3851.1,0.0741306,0.48174,1.43909,0.55299,-1.54746,-0.438386,578.115,38.9876,5231.34,0.111569,0.894439,0.0135427,5181.69,0.00174604,0.040958,10.212,8.68463,96.6007,73.9216,0.552451,10.0142,10.0672,95.9643,124.719,0.636333,-50.7977 
33,97,43.248,4.2,48.55,-0.2,0.19,0.01,33,11334,0.102431,21.8023,10.1419,96.2515,0.0435754,26.786,0.511002,-2.70412,-2.20701,-3.85005,-0.704073,-0.213722,-138.523,4596.9,20.5831,5910.95,7236.08,-1.83188,-1.33477,-2.10557,0.168167,0.658519,0.526362,4791.19,34.9751,6105.24,0.471397,0.987386,0.0104427,10163.8,0.00161448,0.692933,9.51249,8.07795,96.4886,74.2344,0.692072,9.91564,9.66679,95.5997,125.052,0.888828,-50.8172 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,12618.5,0.201921,23.2885,10.4062,96.3281,0.0043685,-228.012,500,-1.85319,-1.84515,-2.0966,-1.47222,1.3649,-226.001,5078.18,37.3266,6407.82,7921.52,-0.430117,-0.422079,0.749537,-0.0491475,2.78797,0.715671,5395.17,60.8072,6724.81,0.4769,0.980658,0.0163838,11313,0.00189822,0.74913,9.85065,8.03376,96.5016,73.8253,0.740991,10.2025,9.60913,95.6664,124.579,0.835172,-50.7535 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,6927.12,0.209821,11.9311,10.528,96.0608,-3.1562,3266.58,1.89101e-05,-1.68143,-1.27735,-1.41868,-1.37138,1.37842,-106.165,63.6389,1.0918,5942.96,339713,-1.01294,-0.608857,-0.0816976,-0.702894,2.04691,0.772732,212.545,12.1219,6091.87,0.0381357,0.909251,0.00365212,5573.39,0.00141226,0.0132651,8.193,-4.40793,98.6451,72.3588,0.662826,10.0441,10.1414,95.7153,124.606,2.92985,-52.2468 
36,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,36,6033.83,0.0446253,10.0434,11.1195,95.9232,0.0281117,-96.1324,5.95403e-06,-0.374349,-2.43479,0.132715,-3.17397,4.07305,-137.098,329.148,25.7894,4859.5,3723.44,0.488918,-1.57152,1.85925,-2.31071,4.93631,0.453524,521.44,40.0333,5051.79,0.104981,0.881558,0.0143878,4967.02,0.00131542,0.0478959,9.80213,7.98585,95.4599,73.9628,0.529653,10.3119,9.97077,95.6179,124.179,-0.158042,-50.2163 
37,97,43.248,4.2,48.55,-0.2,0.19,0.01,37,11760.7,0.00145317,22.5605,10.3664,96.3685,-0.00987985,5.0644,4.51939e-11,1.61667,1.08221,-2.0063,0.112545,-2.20417,-208.584,4479.9,71.2459,6356.45,7614.89,2.93007,2.3956,0.620493,1.42594,-0.890779,0.904265,4772.46,92.9169,6649.01,0.449232,0.967051,0.0250966,10623.6,0.00150866,0.699304,9.68608,7.95547,96.5275,73.5052,0.735229,10.1595,9.66483,95.8069,124.076,0.720659,-50.5704 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,12329.8,0.24408,23.4134,10.2561,96.4314,0.752916,-307.154,472.485,-1.21358,-0.229695,-1.92035,2.00718,1.01596,-247.442,5130.12,32.1151,6389.71,15345.4,0.344498,1.32838,1.19581,3.56526,2.57403,0.86725,5477.18,57.8234,6736.78,0.480221,0.98186,0.0155651,11405.5,0.00164201,0.80195,9.55979,7.80713,96.6365,72.9487,0.751181,10.2262,9.32125,95.683,123.143,0.953538,-50.1939 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,5490.14,0.180943,9.30154,10.6149,95.9128,0.683472,-528.296,33.2215,2.46078,-0.583012,-1.87968,-1.74509,2.69658,-130.943,49.8164,29.8239,4783.24,14968.4,3.2853,0.241502,-0.230654,-0.920579,3.52109,1.03912,233.477,43.4284,4966.9,0.0507079,0.754425,0.0158512,4604.35,0.000997806,0.00548565,3.24731,3811.62,108.872,52.8552,0.561119,10.0083,9.52034,95.5218,124.634,13.3507,-71.7791 
40,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,40,6813.51,0.0116912,11.2849,11.506,95.8067,-0.00571055,11.9021,4.37221e-12,2.28217,2.51228,4.23762,-0.787067,-0.0276634,-138.237,369.612,31.8754,5545.31,4229.09,3.15261,3.38273,5.97851,0.0833773,0.842781,0.555171,563.503,46.2377,5739.2,0.100375,0.874436,0.0146238,5614,0.00137769,0.0502676,11.1221,7.76674,96.4214,72.8508,0.580661,10.5564,10.2248,95.4376,123.738,0.98381,-50.8875 
