cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
37,0.008,47.2307,1.35,37,10041.7,-0.0885515,22.8102,10.48,117.432,0.0605766,-38.2403,8.35986e-05,-8.70459,-3.17697,-5.3516,-4.16663,-2.70428,-132.043,883.553,10.082,10284.6,7857.31,-7.87315,-2.34553,-3.68872,-3.33519,-1.87284,0.807029,1148.16,17.9807,10549.2,0.108965,0.973325,0.00312996,10537 
38,-1,46.2227,10,38,10621.1,-0.196323,23.4623,10.782,117.448,-2.5714,-7772.4,499.998,-4.95271,-4.24853,-5.6765,-2.30995,-2.41782,-133.788,-81.2929,-0.241586,11735.9,658844,-4.11029,-3.4061,-3.99165,-1.46752,-1.57539,0.725678,186.809,7.76146,12004,0.0171851,0.93222,0.00118964,10870.4 
39,0.13,47.3527,2.6,39,11350.8,-0.113492,23.0509,11.5423,117.188,-0.0283422,208.82,481.147,-6.68058,-5.04012,-7.77346,-4.44545,-2.68147,-128.425,1575,23.2199,10804.3,8853.84,-5.87192,-4.23146,-6.15614,-3.63678,-1.87281,0.717208,1832.36,30.9022,11061.7,0.156917,0.971333,0.00511981,11677.2 
40,0.19,47.4127,3.4,40,10790.5,-0.163904,21.8566,11.5741,117.536,0.171276,134.994,26.8326,-6.96694,-6.64705,-6.2536,-3.30989,-1.14261,-89.8193,1328.71,27.4613,10518.5,8987.75,-6.40137,-6.08148,-5.12246,-2.74432,-0.577044,0.755219,1508.7,32.8342,10698.5,0.136777,0.963312,0.00562171,11030.4 
41,0.004,47.2267,1.32,41,10023.5,-0.184914,22.8496,10.444,117.495,-0.423617,1600.44,467.359,-7.26156,-2.23557,-12.7781,-1.86199,-1.24479,-140.178,845.298,24.4231,10291.7,29838.8,-6.37889,-1.3529,-11.0128,-0.979324,-0.362125,0.45172,1126.21,32.8084,10572.6,0.106893,0.951492,0.00568385,10535.8 
42,0.002,47.2247,1.32,42,10616.4,-0.169246,23.451,10.652,117.461,0.00124968,53.1869,358.494,-6.17418,-3.58333,-8.49575,-4.83258,-2.68188,-88.7145,933.189,1.99567,10695.8,8133.96,-5.61557,-3.02472,-7.37853,-4.27397,-2.12327,0.670837,1110.97,7.30248,10873.5,0.102978,0.988628,0.0012356,10788.4 
43,-1,46.2227,10,43,10280,-0.195495,23.1543,10.6013,117.54,-0.0876424,29.2107,0.28479,-1.98488,-6.34101,-6.44015,-2.88045,-5.20156,-111.344,-131.453,10.4428,11498,8074.1,-1.28378,-5.63991,-5.03794,-2.17934,-4.50045,0.729745,91.6728,17.1033,11721.1,0.00871129,0.753866,0.00268077,10523.4 
44,0.115,47.3377,2.4,44,10573,-0.106869,22.5845,11.1585,117.249,0.00693703,-119.287,405.968,-5.33127,-4.59549,-5.70189,-3.46438,-4.49637,-122.636,1341.39,29.5641,10369.9,8230.64,-4.55907,-3.82328,-4.15748,-2.69217,-3.72417,0.780679,1587.14,36.9001,10615.6,0.143827,0.960904,0.00636245,11035 
45,0.03,47.2527,1.6,45,9908.63,-0.155039,22.1513,10.6308,117.424,0.0602487,-0.174113,4.79189e-09,-6.8643,-1.64304,-4.74863,-2.83389,-7.12213,-126.936,1025.79,1.93409,9984.07,7666.21,-6.06501,-0.843754,-3.15006,-2.03461,-6.32284,0.828952,1280.16,9.52729,10238.4,0.123182,0.987143,0.00171122,10392.4 
46,0.016,47.2387,1.4,46,8831.43,-0.0489322,20.474,10.2797,117.693,-0.263967,114.77,467.024,-5.5062,-3.25371,-7.56024,-5.40663,-1.71003,-113.37,483.44,-7.51854,9501.74,7837.6,-4.79234,-2.53985,-6.13252,-4.69276,-0.996168,0.679825,710.626,-0.736854,9728.93,0.0758457,1.00182,-0.000139538,9369.37 
