cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
61,120,0,61,15847.8,-0.029757,29.367,12.7221,88.6021,-0.00165224,13.9595,498.371,-0.711794,-0.737644,-3.67559,-0.913765,-0.0230798,-90.6872,7.47478,2459.05,6301.74,12163,-0.14076,-0.166611,-2.53352,-0.342731,0.547954,0.0387562,16.0403,2481.32,6310.31,0.00288022,0.00368036,0.42007,5569.11,10936.9,20.7563,168957,-0.000941643,-0.0123495,10.2902,9.98215,100,62,1.27594,12.864,12.5964,88.6767,125.603,11.3233,-63.6029 
62,120,0,62,14831.5,-0.107206,27.4318,12.892,88.9232,-0.150805,492.76,1.63159e-06,-0.408276,1.1623,-1.30142,1.21316,-0.604297,-128.537,19.5706,2056.59,5888.76,13931.6,0.401089,1.97166,0.317312,2.02253,0.205068,0.935475,31.711,2088.15,5900.9,0.00606968,0.00860315,0.394624,5224.5,9482.15,24.1136,147426,-0.000769314,-0.0104855,-8.76108,-8.07604,100,62,1.18903,12.792,12.604,88.9033,125.4,11.0967,-63.3997 
63,120,0,63,17044.9,-0.380971,31.195,13.2535,88.727,-1.56864,1747.98,484.884,0.116026,0.42016,0.440589,0.765609,-0.41348,-89.7431,19.7419,2515.58,6588.57,102719,0.681114,0.985249,1.57077,1.3307,0.151609,0.667171,28.2182,2537.62,6597.05,0.00483717,0.00631414,0.41472,5833.62,12012.7,23.7453,184464,-0.000809899,-0.00853346,9.74929,-7.71886,100,62,1.32067,12.994,12.7745,88.7337,126.018,11.2663,-64.0177 
64,120,0,64,17606.3,-0.257775,31.7971,13.3059,88.4839,0.366644,25.9873,1.82924e-08,-0.531559,-0.70572,-2.81804,-1.08074,-2.94014,-58.8916,23.1249,2564.99,6646.2,14083.1,-0.160734,-0.334896,-2.07639,-0.709919,-2.56931,0.645137,28.6873,2579.45,6651.76,0.00487693,0.00631498,0.416685,5882.24,12544.9,26.3193,187217,-0.00101131,-0.0101232,8.43635,-8.60225,100,62,1.32463,13.2915,12.9839,88.5762,125.043,11.4238,-63.0427 
65,120,0,65,17477.4,-0.301115,31.7214,13.1158,88.6313,-0.159317,579.031,442.643,-2.13961,-2.01798,-3.23582,0.275214,-2.13836,-143.327,-2.48813,2505.99,6610.52,16546.9,-1.23712,-1.11549,-1.43083,1.17771,-1.23587,0.627543,11.0493,2541.18,6624.06,0.00189193,0.00247846,0.414069,5840.22,12505.7,25.6796,185470,-0.0011375,-0.0146413,10.8853,9.02581,100,62,1.31711,13.2876,13.0982,88.8488,125.453,11.1512,-63.4526 
66,120,0,66,15976.1,-0.276299,29.7583,12.912,88.6987,-0.0954849,401.166,4.04462e-12,-1.506,-0.898283,-3.61805,-0.820715,0.10041,-97.7262,7.67672,2431.24,6357.4,13755.2,-0.890647,-0.282927,-2.38734,-0.205359,0.715766,0.217396,16.9071,2455.23,6366.63,0.00300862,0.00391951,0.415339,5619.54,10965.9,22.9132,171746,-0.000820399,-0.0105548,9.70074,8.22807,99.9993,62,1.27909,12.768,12.6411,88.7243,125.822,11.275,-63.822 
67,120,0,67,17273.3,-0.361021,31.917,13.0383,88.4205,0.402774,424.504,14.9557,0.642442,-0.594654,-0.472958,-1.5606,-0.242529,-88.8228,10.1062,2663.14,6721.14,19112.8,1.20174,-0.0353599,0.645629,-1.00131,0.316764,0.427361,18.4956,2684.95,6729.52,0.00311349,0.00392092,0.42362,5940.48,12520.3,22.4531,192225,-0.000945253,0.00321179,-1.51512,-0.0305807,99.5531,63.1524,1.35553,12.897,12.7555,88.4482,125.63,11.1049,-62.4775 
68,120,0,68,17030.6,-0.0075304,31.4378,12.8309,88.6343,0.0393311,-94.2865,7.64933e-13,0.341937,0.698053,-1.30208,-0.46224,-0.262601,-120.465,8.27012,2572.47,6619.76,13251.9,1.10047,1.45659,0.214991,0.296298,0.495937,0.939682,19.6482,2602.06,6631.14,0.00335577,0.00429633,0.419564,5855.05,12223.8,20.6911,186016,-0.000998577,-0.0135875,9.44087,9.1603,100,62,1.32936,12.9597,12.8762,88.7493,125.883,11.2506,-63.8832 
69,120,0,69,17505,-0.0962132,31.8799,13.0382,88.7526,0.00181211,91.2382,3.42063,-0.208961,0.769976,-2.23235,0.595495,-1.21011,-122.4,-7.00679,2654.63,6660.93,13536.3,0.56176,1.5407,-0.690907,1.36622,-0.439385,1.29546,4.55402,2684.69,6672.49,0.000774975,0.000968374,0.425675,5876.35,12580.5,21.7036,188324,-0.00106042,-0.0123418,10.7622,9.30379,100,62,1.32986,13.1651,13.0484,88.8291,125.933,11.1708,-63.9329 
70,120,0,70,17126.4,-0.0968707,31.6606,12.8592,88.4066,-0.0832298,59.3912,500,1.43933,1.04591,-1.31023,0.498576,-0.672915,-73.7112,-18.4488,2532.33,6699.47,13414.3,1.90347,1.51005,-0.381948,0.962716,-0.208775,1.1009,-11.4867,2550.43,6706.43,-0.00195015,-0.00258026,0.411953,5890.17,12547.8,23.399,190798,-0.0011774,-0.0161778,10.5792,9.78694,100,62,1.3422,13.078,12.855,88.4996,126.126,11.5004,-64.1264 
71,120,0,71,17461.9,-0.359236,31.8167,13.2018,88.3354,0.243059,442.819,338.892,1.11488,-0.654114,-1.5658,1.14177,-0.563708,-85.5438,-4.52937,2612.68,6563.14,17177.3,1.65353,-0.115467,-0.488504,1.68042,-0.0250617,1.1806,3.55033,2633.69,6571.22,0.000613583,0.000769718,0.424725,5786.22,12241.9,21.6316,182927,-0.000939377,-0.0128267,10.6002,9.97065,100,62,1.3048,13.1971,13.1589,88.4462,126.085,11.5538,-64.0855 
72,120,0,72,17276.7,-0.357403,31.549,13.1797,88.6324,-0.0080063,351.549,474.627,-0.303415,0.268007,-2.20039,-0.447636,0.188713,-118.971,-2.1186,2745.95,6539.9,13627.5,0.445715,1.01714,-0.702126,0.301494,0.937843,1.35105,9.11834,2775.17,6551.14,0.00157917,0.00187402,0.438311,5774.12,12151.4,23.9991,182074,-0.000926837,-0.0129982,10.4381,8.57867,100,62,1.30937,13.0781,13.0798,88.7498,126.574,11.2502,-64.5738 
