cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
31,202.5,3.509,43.46,10,31,31108.5,-0.130582,51.2232,13.5868,115.748,0.203652,-462.282,6.06984,-1.31039,-3.42823,2.79241,-1.78292,-0.0734033,15.2939,15681.2,112.755,14805.8,25720.4,-1.4067,-3.52453,2.59981,-1.87922,-0.169705,1.59352,15669.1,111.648,14793.6,0.483824,0.987684,0.0137118,32385.8,-0.000436671,1.26555,13.8342,-11.3543,115.238,90.8227,1.10621,13.4584,12.6619,115.038,141.061,0.199356,-50.2387,619.311,587.282,1206.59 
32,202.5,3.509,43.42,10,32,31766.3,-0.0903638,51.9144,13.5678,115.986,0.0641019,-35.1691,500,-1.02206,-1.61581,2.16465,-1.47129,0.910305,46.9646,16146.6,115.673,14846.8,23002.8,-1.31779,-1.91153,1.57321,-1.76701,0.614581,1.56015,16109.1,112.272,14809.4,0.490478,0.98795,0.013773,32843.7,-0.000258879,1.30411,13.7797,-11.3481,115.39,90.6624,1.09383,13.5777,12.7234,115.326,140.912,0.0631982,-50.2496,635.329,588.741,1224.07 
33,202.5,3.509,43.36,10,33,26946.6,-0.137528,44.9407,13.3713,115.741,0.198825,-160.992,9.38925,1.20581,-2.96937,1.16503,-0.513197,0.060012,81.0397,13868.2,89.0465,12606.9,20603.8,0.695527,-3.47966,0.14446,-1.02348,-0.450273,1.03512,13803.6,83.1782,12542.4,0.4934,0.989565,0.012069,27976.5,-0.000163678,1.17452,13.4087,-11.0598,115.168,90.066,0.972381,13.2305,12.3067,115.01,140.06,0.157829,-49.9943,542.425,493.073,1035.5 
34,202.5,3.509,43.2,10,34,30260.6,-0.109535,50.2075,13.3392,115.916,0.0660385,-67.3389,58.2609,3.1312,-0.486221,-3.53985,1.23003,0.171813,20.8235,15821.3,87.9513,13815.9,21946.6,3.00008,-0.617341,-3.80209,1.09891,0.0406925,-12.5907,15804.7,86.4435,13799.3,0.503368,0.990519,0.0114079,31397.9,-0.00019969,1.34441,13.522,-10.981,115.269,90.1826,1.06648,13.3451,12.2252,115.351,140.102,-0.0820169,-49.9198,621.617,541.835,1163.45 
35,202.5,3.509,43.34,10,35,28374.8,-0.123245,47.0816,13.3878,115.691,-0.182737,128.873,258.939,0.912226,-0.949129,-0.516389,3.36713,-1.06931,-24.0657,14577,85.7199,13195.6,21285.6,1.06376,-0.797594,-0.213319,3.51866,-0.91778,1.08038,14596.2,87.4625,13214.8,0.494303,0.989623,0.0120452,29528.9,-0.000275831,1.2039,13.6244,11.2545,115.124,89.8436,1.00351,13.3613,12.4524,114.929,139.702,0.195181,-49.8589,575.023,520.129,1095.15 
36,202.5,3.509,43.24,10,36,28416,-0.0571283,48.282,12.964,115.763,-0.017494,80.405,500,-0.115242,-2.78994,3.56493,-0.606524,1.05438,3.24581,14394.6,58.9841,13546.3,20421.9,-0.13568,-2.81038,3.52405,-0.626962,1.03394,-2.57782,14392,58.7491,13543.7,0.484637,0.992907,0.00792723,29696.4,-0.000161333,1.30294,13.1165,-10.6018,115.177,90.3079,1.11042,12.9549,11.7685,115.012,140.324,0.164464,-50.0163,564.036,527.007,1091.04 
37,202.5,3.509,43.38,10,37,28243.8,-0.0985332,47.6329,13.1494,115.755,-0.0438631,206.267,500,-0.564805,-2.77837,-3.83417,-0.784181,-2.82128,40.8768,14452.2,60.8638,13437.2,20684.1,-0.822195,-3.03576,-4.34895,-1.04157,-3.07867,0.647205,14419.6,57.9039,13404.6,0.487696,0.993022,0.00789451,29566.8,-0.000414831,1.26221,13.2801,-10.8875,115.174,90.4705,1.06748,13.2184,12.0046,114.928,140.546,0.246178,-50.0757,568.213,527.388,1095.6 
38,202.5,3.509,43.3,10,38,29000.2,0.0258676,48.0133,13.3384,115.694,-0.029188,28.4477,499.998,-0.335234,-1.27877,0.393367,-0.143475,-1.29272,-11.6165,14830,92.3986,13596.9,20874.8,-0.262088,-1.20563,0.539659,-0.0703291,-1.21957,1.24331,14839.3,93.2398,13606.1,0.491136,0.989124,0.0124662,30214.2,-0.000299808,1.22722,13.4888,-11.2989,115.029,90.3028,1.00874,13.5283,12.6422,115.072,140.44,-0.0423367,-50.1368,582.674,537.48,1120.15 
39,202.5,3.509,43.26,10,39,28491.1,-0.0346183,46.8028,13.3749,115.927,-0.00823937,38.2961,500,0.593501,1.51953,3.27875,2.85194,0.920587,0.98708,14580.3,59.6506,13186.9,20388.1,0.587285,1.51331,3.26632,2.84572,0.914372,0.642126,14579.5,59.5791,13186.1,0.494559,0.992899,0.00825451,29479.8,-0.000129032,1.21784,13.5564,-11.1552,115.33,90.2357,1.00647,13.4875,12.2864,115.218,140.087,0.112015,-49.8513,573.575,519.468,1093.04 
40,202.5,3.509,43.5,10,40,30536.1,0.0134664,50.5131,13.2825,115.827,-0.0777835,28.9262,3.12616e-12,-0.00629381,-2.48864,2.35316,1.65764,-1.67801,25.3335,15621.4,89.7444,14292.6,21914.5,-0.165812,-2.64816,2.03413,1.49812,-1.83753,2.81739,15601.2,87.9099,14272.4,0.491701,0.990235,0.011219,31729,-0.000185846,1.32278,13.5501,-10.979,115.192,90.3989,1.09771,13.2141,12.4104,115.1,140.378,0.0919416,-49.9791,612.846,560.626,1173.47 
